arm,session,version,kind,added,refined_or_note,perception_stack
menu,230735,6,PIVOT,adaptive baseline: mean_energy EMA; strike_thresh=mean*0.8,self-calibrating threshold,adaptive;energy;gyro;onset;orientation;signed
menu,230735,7,REFINE,,threshold tuning,adaptive;energy;gyro;onset;orientation;signed
menu,230735,8,REFINE,,adaptive drum from mean_energy,adaptive;energy;gyro;onset;orientation;signed
menu,230735,9,PIVOT,"smoothed_tilt (ay EMA, partial confound); az orient; |gx| drum",single-axis gravity smoothing,adaptive;az;energy;gyro;onset;orientation;signed
menu,231148,1,seed,energy,seed,energy
menu,231148,2,—,,,energy
menu,231148,3,PIVOT,gyro-mag,2nd voice strings,energy;gyro
menu,231148,4,PIVOT,adaptive baseline: smooth_energy EMA; onset(energy<last); accent_thresh,adaptive accent,adaptive;energy;gyro;onset
menu,231148,5,MUSIC,,,adaptive;energy;gyro;onset
menu,231148,6,MUSIC,,vel tuning,adaptive;energy;gyro;onset
menu,231148,7,PIVOT,energy-ZONES (smooth_e>1.1/0.5 chord zones); signed gx->pan,energy-band harmony,adaptive;energy;gyro;onset;signed;zone
menu,231148,8,REFINE,asymmetric energy smoothing (fast-up/slow-down),peak-holding baseline,adaptive;energy;gyro;onset;signed;zone
menu,231148,9,REFINE,,zone/pan tuning,adaptive;energy;gyro;onset;signed;zone
menu,231148,10,MUSIC,,bass on energy,adaptive;energy;gyro;onset;signed;zone
menu,231148,11,MUSIC,,,adaptive;energy;gyro;onset;signed;zone
menu,231148,12,REFINE,|gx|->breath,breath layer,adaptive;energy;gyro;onset;signed;zone
menu,231148,13,PIVOT,4th energy zone (D-maj extreme peak),more energy bands,adaptive;energy;gyro;onset;peak;signed;zone
menu,231148,14,MUSIC,,mod wheel from energy,adaptive;energy;gyro;onset;peak;signed;zone
menu,231148,15,MUSIC,,,adaptive;energy;gyro;onset;peak;signed;zone
menu,231148,16,PIVOT,"signed ay tilt_offset (late, single axis)",tilt melody,adaptive;energy;gyro;onset;peak;signed;zone
menu,231148,17,REFINE,,accent clamp,adaptive;energy;gyro;onset;peak;signed;zone
menu,231148,18,MUSIC,,filter from energy,adaptive;energy;gyro;onset;peak;signed;zone
menu,231148,19,REFINE,|gx|->breath refine,expression,adaptive;energy;gyro;onset;peak;signed;zone
menu,233217,1,seed,energy,seed,energy
menu,233217,2,—,,,energy
menu,233217,3,PIVOT,gyro (normalized); tempo-clock from energy,rhythmic clock,energy;gyro;tempo
menu,233217,4,PIVOT,signed twist gy->pan,melody pan,energy;gyro;signed;tempo;twist
menu,233217,5,REFINE,,tempo/step tuning,energy;gyro;signed;tempo;twist
menu,233217,6,PIVOT,signed ax->pan; twist_speed=|gy|,mirror stereo,energy;gyro;signed;tempo;twist
menu,233217,7,PIVOT,smooth_ax (single-axis filter),swing,energy;gyro;signed;tempo;twist
menu,233217,8,PIVOT,d_gyro (gyro derivative/jerk),gesture-change trigger,energy;gyro;jerk;signed;tempo;twist
menu,233217,9,REFINE,,should_play density from d_gyro,energy;gyro;jerk;signed;tempo;twist
menu,233217,10,PIVOT,smooth_ax orientation (<-0.25/>0.25),directional,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,11,PIVOT,smooth_ay + tilt_offset,tilt melody,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,12,PIVOT,smooth_tempo tracker,tempo smoothing,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,13,REFINE,dual-axis smoothing tune,,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,14,REFINE,,tempo tune,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,15,MUSIC,,bass voice,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,16,REFINE,,step pattern,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,17,REFINE,,tempo,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,18,REFINE,,slower smoothing,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233217,19,MUSIC,,cutoff from gyro,energy;gyro;jerk;orientation;signed;tempo;twist
menu,233735,1,seed,energy,seed,energy
menu,233735,2,—,,,energy
menu,233735,3,PIVOT,twist=|gx| (magnitude),pad idx from twist,energy;twist
menu,233735,4,REFINE,,pad idx,energy;twist
menu,233735,5,PIVOT,smooth_twist; avg_energy adaptive; beat_interval tempo,adaptive beat,adaptive;energy;tempo;twist
menu,233735,6,PIVOT,signed swing gy; trigger_threshold from avg_e,swing + adaptive trigger,adaptive;energy;signed;tempo;twist
menu,233735,7,PIVOT,signed swing->pan; reverb from avg_e,stereo,adaptive;energy;signed;tempo;twist
menu,233735,8,REFINE,,tempo/threshold tune,adaptive;energy;signed;tempo;twist
menu,233735,9,REFINE,,hat density from avg_e,adaptive;energy;signed;tempo;twist
menu,233735,10,MUSIC,,(further refine),adaptive;energy;signed;tempo;twist
menu,234820,1,seed,energy,seed,energy
menu,234820,2,—,,,energy
menu,234820,3,PIVOT,gyro-mag,raw ax to Mem,energy;gyro
menu,234820,4,PIVOT,smooth_energy EMA; jerk=e-last_e,adaptive,energy;gyro;jerk
menu,234820,5,PIVOT,windowed signed gy->pan (avg_gy),windowed pan,energy;gyro;jerk;signed;windowed
menu,234820,6,PIVOT,windowed orientation: avg_az/avg_ax elevation,elevation,az;energy;gyro;jerk;orientation;signed;windowed
menu,234820,7,PIVOT,jerk+gyro onset trigger,strike on jerk,az;energy;gyro;jerk;onset;orientation;signed;windowed
