date,time,domain,creature,session,reflections,instinct_versions,path
2026-05-22,13:49:49,creatures,keep_changing_core,20260522_134949,3,3,creatures/keep_changing_core/logs/20260522_134949
2026-05-22,14:01:25,creatures,keep_changing_core,20260522_140125,3,4,creatures/keep_changing_core/logs/20260522_140125
2026-05-22,14:04:49,creatures,keep_changing,20260522_140449,0,1,creatures/keep_changing/logs/20260522_140449
2026-05-22,14:05:20,creatures,keep_changing,20260522_140520,7,4,creatures/keep_changing/logs/20260522_140520
2026-06-08,09:22:34,sim_creatures,dancer,20260608_092234,1,2,sim_creatures/dancer/logs/20260608_092234
2026-06-08,09:29:04,sim_creatures,dancer,20260608_092904,0,1,sim_creatures/dancer/logs/20260608_092904
2026-06-08,09:36:12,sim_creatures,dancer,20260608_093612,3,4,sim_creatures/dancer/logs/20260608_093612
2026-06-08,10:37:24,sim_creatures,dancer,20260608_103724,13,13,sim_creatures/dancer/logs/20260608_103724
2026-06-22,17:36:03,sim_creatures,midi-dancer,20260622_173603,4,5,sim_creatures/midi-dancer/logs/20260622_173603
2026-06-22,20:57:59,sim_creatures,midi-dancer,20260622_205759,38,6,sim_creatures/midi-dancer/logs/20260622_205759
2026-06-22,22:24:50,sim_creatures,tango-dancer,20260622_222450,4,4,sim_creatures/tango-dancer/logs/20260622_222450
2026-06-22,22:37:49,sim_creatures,tango-dancer,20260622_223749,49,5,sim_creatures/tango-dancer/logs/20260622_223749
2026-06-23,07:02:05,sim_creatures,tango-dancer,20260623_070205,4,5,sim_creatures/tango-dancer/logs/20260623_070205
2026-06-23,07:18:24,sim_creatures,tango-dancer,20260623_071824,2,3,sim_creatures/tango-dancer/logs/20260623_071824
2026-06-23,08:15:46,sim_creatures,tango-dancer,20260623_081546,1,2,sim_creatures/tango-dancer/logs/20260623_081546
2026-06-23,09:51:18,sim_creatures,tango-dancer,20260623_095118,3,4,sim_creatures/tango-dancer/logs/20260623_095118
2026-06-23,09:59:54,sim_creatures,tango-dancer,20260623_095954,45,3,sim_creatures/tango-dancer/logs/20260623_095954
2026-06-23,10:00:16,sim_creatures,tango-dancer,20260623_100016,8,9,sim_creatures/tango-dancer/logs/20260623_100016
2026-06-23,10:40:01,sim_creatures,tango-dancer,20260623_104001,15,11,sim_creatures/tango-dancer/logs/20260623_104001
2026-06-23,20:53:40,sim_creatures,lala,20260623_205340,21,19,sim_creatures/lala/logs/20260623_205340
2026-06-23,23:25:30,sim_creatures,lala,20260623_232530,2,3,sim_creatures/lala/logs/20260623_232530
2026-06-23,23:47:06,sim_creatures,lala,20260623_234706,6,3,sim_creatures/lala/logs/20260623_234706
2026-06-24,00:12:37,sim_creatures,lala,20260624_001237,9,6,sim_creatures/lala/logs/20260624_001237
2026-06-24,07:11:46,sim_creatures,lala,20260624_071146,19,20,sim_creatures/lala/logs/20260624_071146
2026-06-24,08:38:06,sim_creatures,lala,20260624_083806,23,21,sim_creatures/lala/logs/20260624_083806
2026-06-24,09:12:44,sim_creatures,lala,20260624_091244,20,20,sim_creatures/lala/logs/20260624_091244
2026-06-24,09:56:48,sim_creatures,lala_wrist,20260624_095648,23,24,sim_creatures/lala_wrist/logs/20260624_095648
2026-06-25,08:25:19,sim_creatures,lala_repeated/lala_hips,20260625_082519,21,22,sim_creatures/lala_repeated/lala_hips/logs/20260625_082519
2026-06-25,08:41:02,sim_creatures,lala_repeated/lala_hips,20260625_084102,22,20,sim_creatures/lala_repeated/lala_hips/logs/20260625_084102
2026-06-25,08:50:11,sim_creatures,lala_repeated/lala_hips,20260625_085011,23,24,sim_creatures/lala_repeated/lala_hips/logs/20260625_085011
2026-06-25,08:58:29,sim_creatures,lala_repeated/lala_hips,20260625_085829,31,31,sim_creatures/lala_repeated/lala_hips/logs/20260625_085829
2026-06-25,09:13:45,sim_creatures,lala_repeated/lala_hips,20260625_091345,24,24,sim_creatures/lala_repeated/lala_hips/logs/20260625_091345
2026-06-25,09:42:18,sim_creatures,lala_repeated/lala_wrist,20260625_094218,30,31,sim_creatures/lala_repeated/lala_wrist/logs/20260625_094218
2026-06-25,09:58:46,sim_creatures,lala_repeated/lala_wrist,20260625_095846,22,23,sim_creatures/lala_repeated/lala_wrist/logs/20260625_095846
2026-06-25,10:07:19,sim_creatures,lala_repeated/lala_wrist,20260625_100719,27,28,sim_creatures/lala_repeated/lala_wrist/logs/20260625_100719
2026-06-25,10:16:26,sim_creatures,lala_repeated/lala_wrist,20260625_101626,29,29,sim_creatures/lala_repeated/lala_wrist/logs/20260625_101626
2026-06-25,10:27:21,sim_creatures,lala_repeated/lala_wrist,20260625_102721,30,29,sim_creatures/lala_repeated/lala_wrist/logs/20260625_102721
2026-06-25,15:40:06,sim_creatures,lala_repeated/tap129_hips,20260625_154006,34,28,sim_creatures/lala_repeated/tap129_hips/logs/20260625_154006
2026-06-25,15:53:52,sim_creatures,lala_repeated/tap129_hips,20260625_155352,27,26,sim_creatures/lala_repeated/tap129_hips/logs/20260625_155352
2026-06-25,16:09:25,sim_creatures,lala_repeated/tap129_hips,20260625_160925,30,31,sim_creatures/lala_repeated/tap129_hips/logs/20260625_160925
2026-06-25,16:19:37,sim_creatures,lala_repeated/tap129_hips,20260625_161937,32,32,sim_creatures/lala_repeated/tap129_hips/logs/20260625_161937
2026-06-25,16:31:59,sim_creatures,lala_repeated/tap129_hips,20260625_163159,26,27,sim_creatures/lala_repeated/tap129_hips/logs/20260625_163159
2026-06-25,21:20:46,sim_creatures,lala_repeated/tap129_opus_hips,20260625_212046,42,12,sim_creatures/lala_repeated/tap129_opus_hips/logs/20260625_212046
2026-06-25,21:44:03,sim_creatures,lala_repeated/tap129_opus_hips,20260625_214403,43,15,sim_creatures/lala_repeated/tap129_opus_hips/logs/20260625_214403
2026-06-25,21:59:21,sim_creatures,lala_repeated/tap129_opus_hips,20260625_215921,46,8,sim_creatures/lala_repeated/tap129_opus_hips/logs/20260625_215921
2026-06-27,11:07:25,sim_creatures,lala_repeated/tap129_calc_hips,20260627_110725,34,33,sim_creatures/lala_repeated/tap129_calc_hips/logs/20260627_110725
2026-06-27,11:20:46,sim_creatures,lala_repeated/tap129_calc_hips,20260627_112046,36,31,sim_creatures/lala_repeated/tap129_calc_hips/logs/20260627_112046
2026-06-27,16:02:43,sim_creatures,lala_repeated/tap129_calc_hips,20260627_160243,4,5,sim_creatures/lala_repeated/tap129_calc_hips/logs/20260627_160243
2026-06-27,16:09:48,sim_creatures,lala_repeated/tap129_calc_hips,20260627_160948,21,21,sim_creatures/lala_repeated/tap129_calc_hips/logs/20260627_160948
2026-06-27,22:29:58,sim_creatures,lala_repeated/lala_wrist_expressive,20260627_222958,20,21,sim_creatures/lala_repeated/lala_wrist_expressive/logs/20260627_222958
2026-06-27,23:08:45,sim_creatures,lala_repeated/lala_wrist_expressive,20260627_230845,25,25,sim_creatures/lala_repeated/lala_wrist_expressive/logs/20260627_230845
2026-06-27,23:48:40,sim_creatures,lala_repeated/lala_wrist_expressive,20260627_234840,23,24,sim_creatures/lala_repeated/lala_wrist_expressive/logs/20260627_234840
2026-06-28,00:03:21,sim_creatures,lala_repeated/lala_wrist_expressive,20260628_000321,21,22,sim_creatures/lala_repeated/lala_wrist_expressive/logs/20260628_000321
2026-06-28,11:18:50,sim_creatures,lala_repeated/lala_wrist_expressive_z,20260628_111850,17,18,sim_creatures/lala_repeated/lala_wrist_expressive_z/logs/20260628_111850
2026-06-28,12:17:02,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260628_121702,27,27,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260628_121702
2026-06-28,20:18:33,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260628_201833,21,22,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260628_201833
2026-06-29,07:18:06,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260629_071806,29,29,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260629_071806
2026-06-29,07:37:27,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260629_073727,25,25,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260629_073727
2026-06-29,12:40:55,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260629_124055,21,22,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260629_124055
2026-06-29,12:48:19,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260629_124819,22,19,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260629_124819
2026-06-29,15:19:06,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260629_151906,17,18,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260629_151906
2026-06-29,15:27:05,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260629_152705,29,27,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260629_152705
2026-06-30,06:07:24,sim_creatures,lala_repeated/lala_wrist_expressive_dyn,20260630_060724,22,22,sim_creatures/lala_repeated/lala_wrist_expressive_dyn/logs/20260630_060724
2026-06-30,10:49:04,sim_creatures,lala_repeated/lala_expressive_pose,20260630_104904,30,31,sim_creatures/lala_repeated/lala_expressive_pose/logs/20260630_104904
2026-06-30,10:57:49,sim_creatures,lala_repeated/lala_expressive_pose,20260630_105749,24,25,sim_creatures/lala_repeated/lala_expressive_pose/logs/20260630_105749
2026-06-30,12:16:29,sim_creatures,lala_repeated/lala_expressive_pose,20260630_121629,23,24,sim_creatures/lala_repeated/lala_expressive_pose/logs/20260630_121629
2026-06-30,12:24:11,sim_creatures,lala_repeated/lala_expressive_pose,20260630_122411,21,22,sim_creatures/lala_repeated/lala_expressive_pose/logs/20260630_122411
2026-06-30,12:30:06,sim_creatures,lala_repeated/lala_expressive_madgwick,20260630_123006,26,27,sim_creatures/lala_repeated/lala_expressive_madgwick/logs/20260630_123006
2026-06-30,12:40:51,sim_creatures,lala_repeated/lala_expressive_madgwick,20260630_124051,2,3,sim_creatures/lala_repeated/lala_expressive_madgwick/logs/20260630_124051
2026-06-30,13:04:00,sim_creatures,lala_repeated/lala_expressive_madgwick,20260630_130400,21,20,sim_creatures/lala_repeated/lala_expressive_madgwick/logs/20260630_130400
2026-06-30,13:17:13,sim_creatures,lala_repeated/lala_expressive_madgwick,20260630_131713,24,24,sim_creatures/lala_repeated/lala_expressive_madgwick/logs/20260630_131713
2026-06-30,13:35:02,sim_creatures,lala_repeated/lala_expressive_madgwick,20260630_133502,24,24,sim_creatures/lala_repeated/lala_expressive_madgwick/logs/20260630_133502
2026-06-30,13:43:15,sim_creatures,lala_repeated/lala_expressive_madgwick,20260630_134315,17,18,sim_creatures/lala_repeated/lala_expressive_madgwick/logs/20260630_134315
2026-06-30,14:03:52,sim_creatures,lala_repeated/lala_expressive_minseed,20260630_140352,25,24,sim_creatures/lala_repeated/lala_expressive_minseed/logs/20260630_140352
2026-06-30,14:12:14,sim_creatures,lala_repeated/lala_expressive_minseed,20260630_141214,10,11,sim_creatures/lala_repeated/lala_expressive_minseed/logs/20260630_141214
2026-06-30,14:43:45,sim_creatures,lala_repeated/lala_expressive_minseed,20260630_144345,27,28,sim_creatures/lala_repeated/lala_expressive_minseed/logs/20260630_144345
2026-06-30,19:43:52,sim_creatures,lala_repeated/lala_gesture_techno,20260630_194352,21,22,sim_creatures/lala_repeated/lala_gesture_techno/logs/20260630_194352
2026-06-30,19:54:11,sim_creatures,lala_repeated/lala_gesture_techno,20260630_195411,4,5,sim_creatures/lala_repeated/lala_gesture_techno/logs/20260630_195411
2026-06-30,20:00:47,sim_creatures,lala_repeated/lala_gesture_techno,20260630_200047,25,25,sim_creatures/lala_repeated/lala_gesture_techno/logs/20260630_200047
2026-06-30,20:26:20,sim_creatures,lala_repeated/lala_gesture_techno,20260630_202620,4,5,sim_creatures/lala_repeated/lala_gesture_techno/logs/20260630_202620
2026-06-30,21:03:59,sim_creatures,lala_repeated/lala_gesture_techno,20260630_210359,25,26,sim_creatures/lala_repeated/lala_gesture_techno/logs/20260630_210359
2026-07-02,09:45:19,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_094519,19,20,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_094519
2026-07-02,10:22:40,sim_creatures,lala_repeated/lala_gesture_techno,20260702_102240,0,1,sim_creatures/lala_repeated/lala_gesture_techno/logs/20260702_102240
2026-07-02,10:22:48,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_102248,16,16,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_102248
2026-07-02,10:38:25,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_103825,38,38,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_103825
2026-07-02,11:55:22,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_115522,24,25,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_115522
2026-07-02,13:53:43,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_135343,0,1,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_135343
2026-07-02,13:56:04,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_135604,19,20,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_135604
2026-07-02,14:03:34,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_140334,23,24,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_140334
2026-07-02,14:30:59,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_143059,20,21,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_143059
2026-07-02,14:49:11,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_144911,24,24,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_144911
2026-07-02,15:44:23,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_154423,7,7,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_154423
2026-07-02,15:59:43,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_155943,28,28,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_155943
2026-07-02,18:12:56,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_181256,0,1,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_181256
2026-07-02,18:13:07,sim_creatures,lala_repeated/lala_gesture_techno2,20260702_181307,24,24,sim_creatures/lala_repeated/lala_gesture_techno2/logs/20260702_181307
2026-07-03,10:59:21,sim_creatures,lala_ears/1_just_ears,20260703_105921,25,24,sim_creatures/lala_ears/1_just_ears/logs/20260703_105921
2026-07-03,12:29:29,sim_creatures,lala_ears/1_just_ears,20260703_122929,0,1,sim_creatures/lala_ears/1_just_ears/logs/20260703_122929
2026-07-03,12:29:44,sim_creatures,lala_ears/2_ear_hint,20260703_122944,40,39,sim_creatures/lala_ears/2_ear_hint/logs/20260703_122944
2026-07-03,12:56:57,sim_creatures,lala_ears/3_ears_warrant_reflection,20260703_125657,20,19,sim_creatures/lala_ears/3_ears_warrant_reflection/logs/20260703_125657
2026-07-03,13:16:52,sim_creatures,lala_ears/3_ears_warrant_reflection,20260703_131652,22,22,sim_creatures/lala_ears/3_ears_warrant_reflection/logs/20260703_131652
2026-07-03,13:45:22,sim_creatures,lala_ears/4_timed_ears,20260703_134522,11,12,sim_creatures/lala_ears/4_timed_ears/logs/20260703_134522
2026-07-03,13:51:19,sim_creatures,lala_ears/4_timed_ears,20260703_135119,21,21,sim_creatures/lala_ears/4_timed_ears/logs/20260703_135119
2026-07-03,17:11:50,sim_creatures,lala_ears/4b_cc_report,20260703_171150,8,9,sim_creatures/lala_ears/4b_cc_report/logs/20260703_171150
2026-07-03,17:19:14,sim_creatures,lala_ears/5_flow,20260703_171914,10,11,sim_creatures/lala_ears/5_flow/logs/20260703_171914
2026-07-03,17:57:17,sim_creatures,lala_ears/4_timed_ears,20260703_175717,21,21,sim_creatures/lala_ears/4_timed_ears/logs/20260703_175717
2026-07-03,19:28:02,sim_creatures,lala_ears/5_flow,20260703_192802,8,9,sim_creatures/lala_ears/5_flow/logs/20260703_192802
2026-07-03,19:44:20,sim_creatures,lala_ears/4c_inherited_experience,20260703_194420,20,21,sim_creatures/lala_ears/4c_inherited_experience/logs/20260703_194420
2026-07-03,21:36:58,sim_creatures,lala_ears/6_motion_organ,20260703_213658,8,9,sim_creatures/lala_ears/6_motion_organ/logs/20260703_213658
2026-07-04,07:10:36,sim_creatures,lala_ears/7_pulse,20260704_071036,8,9,sim_creatures/lala_ears/7_pulse/logs/20260704_071036
2026-07-04,08:28:16,sim_creatures,lala_ears/8_episode,20260704_082816,8,9,sim_creatures/lala_ears/8_episode/logs/20260704_082816
2026-07-04,09:47:49,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_094749,10,10,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_094749
2026-07-04,09:56:05,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_095605,9,10,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_095605
2026-07-04,10:01:34,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_100134,8,9,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_100134
2026-07-04,10:16:14,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_101614,8,9,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_101614
2026-07-04,10:23:05,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_102305,18,19,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_102305
2026-07-04,10:48:22,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_104822,9,10,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_104822
2026-07-04,10:59:07,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_105907,8,9,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_105907
2026-07-04,11:26:26,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_112626,11,11,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_112626
2026-07-04,11:38:53,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_113853,11,12,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_113853
2026-07-04,11:45:57,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_114557,11,12,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_114557
2026-07-04,11:54:53,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_115453,11,12,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_115453
2026-07-04,15:06:53,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_150653,13,14,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_150653
2026-07-04,15:17:01,sim_creatures,lala_ears/8b_phrase_and_ictus,20260704_151701,11,11,sim_creatures/lala_ears/8b_phrase_and_ictus/logs/20260704_151701
2026-07-05,18:43:41,sim_creatures,i_want_to_be_touched/0_live_loop,20260705_184341,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260705_184341
2026-07-05,19:53:52,sim_creatures,i_want_to_be_touched/0_live_loop,20260705_195352,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260705_195352
2026-07-05,19:55:04,sim_creatures,i_want_to_be_touched/0_live_loop,20260705_195504,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260705_195504
2026-07-05,19:56:23,sim_creatures,i_want_to_be_touched/0_live_loop,20260705_195623,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260705_195623
2026-07-06,06:58:30,sim_creatures,i_want_to_be_touched/0_live_loop,20260706_065830,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260706_065830
2026-07-06,06:58:45,sim_creatures,i_want_to_be_touched/0_live_loop,20260706_065845,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260706_065845
2026-07-06,07:27:41,sim_creatures,i_want_to_be_touched/0_live_loop,20260706_072741,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260706_072741
2026-07-06,07:33:17,sim_creatures,i_want_to_be_touched/0_live_loop,20260706_073317,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260706_073317
2026-07-06,07:40:57,sim_creatures,i_want_to_be_touched/0_live_loop,20260706_074057,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260706_074057
2026-07-06,07:45:48,sim_creatures,i_want_to_be_touched/0_live_loop,20260706_074548,0,1,sim_creatures/i_want_to_be_touched/0_live_loop/logs/20260706_074548
2026-07-06,07:55:08,sim_creatures,i_want_to_be_touched/1_handling,20260706_075508,0,1,sim_creatures/i_want_to_be_touched/1_handling/logs/20260706_075508
2026-07-06,08:02:00,sim_creatures,i_want_to_be_touched/1_handling,20260706_080200,2,1,sim_creatures/i_want_to_be_touched/1_handling/logs/20260706_080200
